DES,TSLA,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,NVDA,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,AAPL,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,PLTR,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,MSFT,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,AMZN,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,META,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,UNH,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,MSTR,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,AMD,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,GOOG,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,NFLX,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,INTU,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,CRM,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,APP,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,LLY,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,OKLO,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,X,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,V,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,JPM,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,QBTS,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,SNOW,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,HOOD,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,COIN,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,SBET,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,PG,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,COST,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,CRWD,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,PEP,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,NVTS,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,GE,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,MU,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,WMT,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,SMCI,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,INFA,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,MRVL,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,UBER,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,MA,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,FICO,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,BAC,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,HD,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,TXN,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,QCOM,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,HIMS,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,IONQ,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,GS,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,BKNG,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,GEV,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,INTC,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,AMAT,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,XOM,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,FI,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,LIN,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,SMR,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,HOLX,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,ADI,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,AZO,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,BA,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,GME,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
DES,COF,STK,SMART/ISLAND,,,,,USD,||01/21/2025|3|||
